fecha;anio;mes;dia;hora;barra;tension;valor
01/11/2015;2015;11;1;1;QUILLOTA______220;220;34
01/11/2015;2015;11;1;2;QUILLOTA______220;220;34
01/11/2015;2015;11;1;3;QUILLOTA______220;220;34
01/11/2015;2015;11;1;4;QUILLOTA______220;220;34
01/11/2015;2015;11;1;5;QUILLOTA______220;220;34
01/11/2015;2015;11;1;6;QUILLOTA______220;220;34
01/11/2015;2015;11;1;7;QUILLOTA______220;220;34
01/11/2015;2015;11;1;8;QUILLOTA______220;220;34
01/11/2015;2015;11;1;9;QUILLOTA______220;220;34
01/11/2015;2015;11;1;10;QUILLOTA______220;220;34
01/11/2015;2015;11;1;11;QUILLOTA______220;220;34
01/11/2015;2015;11;1;12;QUILLOTA______220;220;34
01/11/2015;2015;11;1;13;QUILLOTA______220;220;34
01/11/2015;2015;11;1;14;QUILLOTA______220;220;34
01/11/2015;2015;11;1;15;QUILLOTA______220;220;34
01/11/2015;2015;11;1;16;QUILLOTA______220;220;34
01/11/2015;2015;11;1;17;QUILLOTA______220;220;34
01/11/2015;2015;11;1;18;QUILLOTA______220;220;34
01/11/2015;2015;11;1;19;QUILLOTA______220;220;34,4
01/11/2015;2015;11;1;20;QUILLOTA______220;220;34,4
01/11/2015;2015;11;1;21;QUILLOTA______220;220;34,89
01/11/2015;2015;11;1;22;QUILLOTA______220;220;35,25
01/11/2015;2015;11;1;23;QUILLOTA______220;220;34,78
01/11/2015;2015;11;1;24;QUILLOTA______220;220;34,4
02/11/2015;2015;11;2;1;QUILLOTA______220;220;34
02/11/2015;2015;11;2;2;QUILLOTA______220;220;34
02/11/2015;2015;11;2;3;QUILLOTA______220;220;34
02/11/2015;2015;11;2;4;QUILLOTA______220;220;34
02/11/2015;2015;11;2;5;QUILLOTA______220;220;34
02/11/2015;2015;11;2;6;QUILLOTA______220;220;34
02/11/2015;2015;11;2;7;QUILLOTA______220;220;34
02/11/2015;2015;11;2;8;QUILLOTA______220;220;34,17
02/11/2015;2015;11;2;9;QUILLOTA______220;220;40,87
02/11/2015;2015;11;2;10;QUILLOTA______220;220;42,2
02/11/2015;2015;11;2;11;QUILLOTA______220;220;42,56
02/11/2015;2015;11;2;12;QUILLOTA______220;220;42,8
02/11/2015;2015;11;2;13;QUILLOTA______220;220;42,8
02/11/2015;2015;11;2;14;QUILLOTA______220;220;42,8
02/11/2015;2015;11;2;15;QUILLOTA______220;220;42,8
02/11/2015;2015;11;2;16;QUILLOTA______220;220;42,8
02/11/2015;2015;11;2;17;QUILLOTA______220;220;42,75
02/11/2015;2015;11;2;18;QUILLOTA______220;220;41,5
02/11/2015;2015;11;2;19;QUILLOTA______220;220;36,63
02/11/2015;2015;11;2;20;QUILLOTA______220;220;46,02
02/11/2015;2015;11;2;21;QUILLOTA______220;220;78,1
02/11/2015;2015;11;2;22;QUILLOTA______220;220;77,85
02/11/2015;2015;11;2;23;QUILLOTA______220;220;43,36
02/11/2015;2015;11;2;24;QUILLOTA______220;220;35,9
03/11/2015;2015;11;3;1;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;2;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;3;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;4;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;5;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;6;QUILLOTA______220;220;34,4
03/11/2015;2015;11;3;7;QUILLOTA______220;220;34,45
03/11/2015;2015;11;3;8;QUILLOTA______220;220;34,54
03/11/2015;2015;11;3;9;QUILLOTA______220;220;41,43
03/11/2015;2015;11;3;10;QUILLOTA______220;220;69,7
03/11/2015;2015;11;3;11;QUILLOTA______220;220;62,8
03/11/2015;2015;11;3;12;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;13;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;14;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;15;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;16;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;17;QUILLOTA______220;220;42,1
03/11/2015;2015;11;3;18;QUILLOTA______220;220;37,11
03/11/2015;2015;11;3;19;QUILLOTA______220;220;35,9
03/11/2015;2015;11;3;20;QUILLOTA______220;220;35,9
03/11/2015;2015;11;3;21;QUILLOTA______220;220;42,99
03/11/2015;2015;11;3;22;QUILLOTA______220;220;66,52
03/11/2015;2015;11;3;23;QUILLOTA______220;220;39,53
03/11/2015;2015;11;3;24;QUILLOTA______220;220;35,9
04/11/2015;2015;11;4;1;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;2;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;3;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;4;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;5;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;6;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;7;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;8;QUILLOTA______220;220;34,4
04/11/2015;2015;11;4;9;QUILLOTA______220;220;36,76
04/11/2015;2015;11;4;10;QUILLOTA______220;220;40,32
04/11/2015;2015;11;4;11;QUILLOTA______220;220;39,29
04/11/2015;2015;11;4;12;QUILLOTA______220;220;38,04
04/11/2015;2015;11;4;13;QUILLOTA______220;220;37,13
04/11/2015;2015;11;4;14;QUILLOTA______220;220;39,07
04/11/2015;2015;11;4;15;QUILLOTA______220;220;40,5
04/11/2015;2015;11;4;16;QUILLOTA______220;220;40,5
04/11/2015;2015;11;4;17;QUILLOTA______220;220;40,5
04/11/2015;2015;11;4;18;QUILLOTA______220;220;36,27
04/11/2015;2015;11;4;19;QUILLOTA______220;220;35,9
04/11/2015;2015;11;4;20;QUILLOTA______220;220;35,9
04/11/2015;2015;11;4;21;QUILLOTA______220;220;59,09
04/11/2015;2015;11;4;22;QUILLOTA______220;220;76,6
04/11/2015;2015;11;4;23;QUILLOTA______220;220;51,56
04/11/2015;2015;11;4;24;QUILLOTA______220;220;35,29
05/11/2015;2015;11;5;1;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;2;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;3;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;4;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;5;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;6;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;7;QUILLOTA______220;220;36,3
05/11/2015;2015;11;5;8;QUILLOTA______220;220;36,38
05/11/2015;2015;11;5;9;QUILLOTA______220;220;37,74
05/11/2015;2015;11;5;10;QUILLOTA______220;220;38
05/11/2015;2015;11;5;11;QUILLOTA______220;220;39,23
05/11/2015;2015;11;5;12;QUILLOTA______220;220;40
05/11/2015;2015;11;5;13;QUILLOTA______220;220;40
05/11/2015;2015;11;5;14;QUILLOTA______220;220;40
05/11/2015;2015;11;5;15;QUILLOTA______220;220;40
05/11/2015;2015;11;5;16;QUILLOTA______220;220;40
05/11/2015;2015;11;5;17;QUILLOTA______220;220;40
05/11/2015;2015;11;5;18;QUILLOTA______220;220;39,33
05/11/2015;2015;11;5;19;QUILLOTA______220;220;37,1
05/11/2015;2015;11;5;20;QUILLOTA______220;220;37,1
05/11/2015;2015;11;5;21;QUILLOTA______220;220;41,03
05/11/2015;2015;11;5;22;QUILLOTA______220;220;63,51
05/11/2015;2015;11;5;23;QUILLOTA______220;220;37,2
05/11/2015;2015;11;5;24;QUILLOTA______220;220;37,01
06/11/2015;2015;11;6;1;QUILLOTA______220;220;36,3
06/11/2015;2015;11;6;2;QUILLOTA______220;220;36,3
06/11/2015;2015;11;6;3;QUILLOTA______220;220;33,93
06/11/2015;2015;11;6;4;QUILLOTA______220;220;30,6
06/11/2015;2015;11;6;5;QUILLOTA______220;220;30,6
06/11/2015;2015;11;6;6;QUILLOTA______220;220;35,83
06/11/2015;2015;11;6;7;QUILLOTA______220;220;36,3
06/11/2015;2015;11;6;8;QUILLOTA______220;220;36,3
06/11/2015;2015;11;6;9;QUILLOTA______220;220;37,62
06/11/2015;2015;11;6;10;QUILLOTA______220;220;38,27
06/11/2015;2015;11;6;11;QUILLOTA______220;220;38,8
06/11/2015;2015;11;6;12;QUILLOTA______220;220;39,43
06/11/2015;2015;11;6;13;QUILLOTA______220;220;37,4
06/11/2015;2015;11;6;14;QUILLOTA______220;220;37,4
06/11/2015;2015;11;6;15;QUILLOTA______220;220;37,4
06/11/2015;2015;11;6;16;QUILLOTA______220;220;37,4
06/11/2015;2015;11;6;17;QUILLOTA______220;220;37,06
06/11/2015;2015;11;6;18;QUILLOTA______220;220;36,91
06/11/2015;2015;11;6;19;QUILLOTA______220;220;34,1
06/11/2015;2015;11;6;20;QUILLOTA______220;220;35,75
06/11/2015;2015;11;6;21;QUILLOTA______220;220;37,2
06/11/2015;2015;11;6;22;QUILLOTA______220;220;37,2
06/11/2015;2015;11;6;23;QUILLOTA______220;220;37,13
06/11/2015;2015;11;6;24;QUILLOTA______220;220;35,99
07/11/2015;2015;11;7;1;QUILLOTA______220;220;34,6
07/11/2015;2015;11;7;2;QUILLOTA______220;220;30,87
07/11/2015;2015;11;7;3;QUILLOTA______220;220;18,29
07/11/2015;2015;11;7;4;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;5;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;6;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;7;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;8;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;9;QUILLOTA______220;220;4,1
07/11/2015;2015;11;7;10;QUILLOTA______220;220;36,5
07/11/2015;2015;11;7;11;QUILLOTA______220;220;36,5
07/11/2015;2015;11;7;12;QUILLOTA______220;220;36,5
07/11/2015;2015;11;7;13;QUILLOTA______220;220;36,5
07/11/2015;2015;11;7;14;QUILLOTA______220;220;36,5
07/11/2015;2015;11;7;15;QUILLOTA______220;220;36,44
07/11/2015;2015;11;7;16;QUILLOTA______220;220;36,4
07/11/2015;2015;11;7;17;QUILLOTA______220;220;36,24
07/11/2015;2015;11;7;18;QUILLOTA______220;220;34,5
07/11/2015;2015;11;7;19;QUILLOTA______220;220;27,65
07/11/2015;2015;11;7;20;QUILLOTA______220;220;34,66
07/11/2015;2015;11;7;21;QUILLOTA______220;220;36,7
07/11/2015;2015;11;7;22;QUILLOTA______220;220;36,7
07/11/2015;2015;11;7;23;QUILLOTA______220;220;30,36
07/11/2015;2015;11;7;24;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;1;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;2;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;3;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;4;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;5;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;6;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;7;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;8;QUILLOTA______220;220;4,1
08/11/2015;2015;11;8;9;QUILLOTA______220;220;1,03
08/11/2015;2015;11;8;10;QUILLOTA______220;220;0
08/11/2015;2015;11;8;11;QUILLOTA______220;220;0
08/11/2015;2015;11;8;12;QUILLOTA______220;220;0
08/11/2015;2015;11;8;13;QUILLOTA______220;220;0
08/11/2015;2015;11;8;14;QUILLOTA______220;220;0
08/11/2015;2015;11;8;15;QUILLOTA______220;220;0
08/11/2015;2015;11;8;16;QUILLOTA______220;220;0
08/11/2015;2015;11;8;17;QUILLOTA______220;220;0
08/11/2015;2015;11;8;18;QUILLOTA______220;220;0
08/11/2015;2015;11;8;19;QUILLOTA______220;220;0
08/11/2015;2015;11;8;20;QUILLOTA______220;220;0
08/11/2015;2015;11;8;21;QUILLOTA______220;220;20,5
08/11/2015;2015;11;8;22;QUILLOTA______220;220;38,44
08/11/2015;2015;11;8;23;QUILLOTA______220;220;23,83
08/11/2015;2015;11;8;24;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;1;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;2;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;3;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;4;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;5;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;6;QUILLOTA______220;220;4,1
09/11/2015;2015;11;9;7;QUILLOTA______220;220;29,27
09/11/2015;2015;11;9;8;QUILLOTA______220;220;34,68
09/11/2015;2015;11;9;9;QUILLOTA______220;220;39,57
09/11/2015;2015;11;9;10;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;11;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;12;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;13;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;14;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;15;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;16;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;17;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;18;QUILLOTA______220;220;39,7
09/11/2015;2015;11;9;19;QUILLOTA______220;220;40,1
09/11/2015;2015;11;9;20;QUILLOTA______220;220;40,1
09/11/2015;2015;11;9;21;QUILLOTA______220;220;49,18
09/11/2015;2015;11;9;22;QUILLOTA______220;220;50,39
09/11/2015;2015;11;9;23;QUILLOTA______220;220;40,04
09/11/2015;2015;11;9;24;QUILLOTA______220;220;15,7
10/11/2015;2015;11;10;1;QUILLOTA______220;220;0
10/11/2015;2015;11;10;2;QUILLOTA______220;220;0
10/11/2015;2015;11;10;3;QUILLOTA______220;220;0
10/11/2015;2015;11;10;4;QUILLOTA______220;220;0
10/11/2015;2015;11;10;5;QUILLOTA______220;220;0
10/11/2015;2015;11;10;6;QUILLOTA______220;220;3,61
10/11/2015;2015;11;10;7;QUILLOTA______220;220;34,03
10/11/2015;2015;11;10;8;QUILLOTA______220;220;38,86
10/11/2015;2015;11;10;9;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;10;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;11;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;12;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;13;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;14;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;15;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;16;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;17;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;18;QUILLOTA______220;220;38,8
10/11/2015;2015;11;10;19;QUILLOTA______220;220;39,3
10/11/2015;2015;11;10;20;QUILLOTA______220;220;39,3
10/11/2015;2015;11;10;21;QUILLOTA______220;220;56
10/11/2015;2015;11;10;22;QUILLOTA______220;220;117,73
10/11/2015;2015;11;10;23;QUILLOTA______220;220;43,63
10/11/2015;2015;11;10;24;QUILLOTA______220;220;27,26
11/11/2015;2015;11;11;1;QUILLOTA______220;220;4,1
11/11/2015;2015;11;11;2;QUILLOTA______220;220;4,1
11/11/2015;2015;11;11;3;QUILLOTA______220;220;2,05
11/11/2015;2015;11;11;4;QUILLOTA______220;220;0
11/11/2015;2015;11;11;5;QUILLOTA______220;220;0
