fecha;anio;mes;dia;hora;barra;tension;valor
1,0/202310,0/2023;2023;10;1;1;QUILLOTA______220;220;103,54
1,0/202310,0/2023;2023;10;1;2;QUILLOTA______220;220;82,54
1,0/202310,0/2023;2023;10;1;3;QUILLOTA______220;220;72,73
1,0/202310,0/2023;2023;10;1;4;QUILLOTA______220;220;15,71
1,0/202310,0/2023;2023;10;1;5;QUILLOTA______220;220;0,0
1,0/202310,0/2023;2023;10;1;6;QUILLOTA______220;220;0,0
1,0/202310,0/2023;2023;10;1;7;QUILLOTA______220;220;0,0
1,0/202310,0/2023;2023;10;1;8;QUILLOTA______220;220;5,88
1,0/202310,0/2023;2023;10;1;9;QUILLOTA______220;220;0,0
1,0/202310,0/2023;2023;10;1;10;QUILLOTA______220;220;65,41
1,0/202310,0/2023;2023;10;1;11;QUILLOTA______220;220;103,75
1,0/202310,0/2023;2023;10;1;12;QUILLOTA______220;220;110,88
1,0/202310,0/2023;2023;10;1;13;QUILLOTA______220;220;110,88
1,0/202310,0/2023;2023;10;1;14;QUILLOTA______220;220;110,88
1,0/202310,0/2023;2023;10;1;15;QUILLOTA______220;220;110,88
1,0/202310,0/2023;2023;10;1;16;QUILLOTA______220;220;110,88
1,0/202310,0/2023;2023;10;1;17;QUILLOTA______220;220;110,91
1,0/202310,0/2023;2023;10;1;18;QUILLOTA______220;220;131,98
1,0/202310,0/2023;2023;10;1;19;QUILLOTA______220;220;146,1
1,0/202310,0/2023;2023;10;1;20;QUILLOTA______220;220;146,1
1,0/202310,0/2023;2023;10;1;21;QUILLOTA______220;220;210,78
1,0/202310,0/2023;2023;10;1;22;QUILLOTA______220;220;246,8
1,0/202310,0/2023;2023;10;1;23;QUILLOTA______220;220;175,1
1,0/202310,0/2023;2023;10;1;24;QUILLOTA______220;220;108,58
2,0/202310,0/2023;2023;10;2;1;QUILLOTA______220;220;98,95
2,0/202310,0/2023;2023;10;2;2;QUILLOTA______220;220;87,93
2,0/202310,0/2023;2023;10;2;3;QUILLOTA______220;220;71,12
2,0/202310,0/2023;2023;10;2;4;QUILLOTA______220;220;69,17
2,0/202310,0/2023;2023;10;2;5;QUILLOTA______220;220;73,09
2,0/202310,0/2023;2023;10;2;6;QUILLOTA______220;220;73,52
2,0/202310,0/2023;2023;10;2;7;QUILLOTA______220;220;147,17
2,0/202310,0/2023;2023;10;2;8;QUILLOTA______220;220;154,03
2,0/202310,0/2023;2023;10;2;9;QUILLOTA______220;220;59,39
2,0/202310,0/2023;2023;10;2;10;QUILLOTA______220;220;48,25
2,0/202310,0/2023;2023;10;2;11;QUILLOTA______220;220;48,25
2,0/202310,0/2023;2023;10;2;12;QUILLOTA______220;220;48,25
2,0/202310,0/2023;2023;10;2;13;QUILLOTA______220;220;9,49
2,0/202310,0/2023;2023;10;2;14;QUILLOTA______220;220;0,0
2,0/202310,0/2023;2023;10;2;15;QUILLOTA______220;220;0,0
2,0/202310,0/2023;2023;10;2;16;QUILLOTA______220;220;0,0
2,0/202310,0/2023;2023;10;2;17;QUILLOTA______220;220;0,0
2,0/202310,0/2023;2023;10;2;18;QUILLOTA______220;220;0,0
2,0/202310,0/2023;2023;10;2;19;QUILLOTA______220;220;10,52
2,0/202310,0/2023;2023;10;2;20;QUILLOTA______220;220;92,96
2,0/202310,0/2023;2023;10;2;21;QUILLOTA______220;220;111,59
2,0/202310,0/2023;2023;10;2;22;QUILLOTA______220;220;144,27
2,0/202310,0/2023;2023;10;2;23;QUILLOTA______220;220;121,66
2,0/202310,0/2023;2023;10;2;24;QUILLOTA______220;220;87,57
3,0/202310,0/2023;2023;10;3;1;QUILLOTA______220;220;66,63
3,0/202310,0/2023;2023;10;3;2;QUILLOTA______220;220;58,39
3,0/202310,0/2023;2023;10;3;3;QUILLOTA______220;220;62,15
3,0/202310,0/2023;2023;10;3;4;QUILLOTA______220;220;67,37
3,0/202310,0/2023;2023;10;3;5;QUILLOTA______220;220;66,02
3,0/202310,0/2023;2023;10;3;6;QUILLOTA______220;220;65,17
3,0/202310,0/2023;2023;10;3;7;QUILLOTA______220;220;83,1
3,0/202310,0/2023;2023;10;3;8;QUILLOTA______220;220;90,39
3,0/202310,0/2023;2023;10;3;9;QUILLOTA______220;220;76,78
3,0/202310,0/2023;2023;10;3;10;QUILLOTA______220;220;73,89
3,0/202310,0/2023;2023;10;3;11;QUILLOTA______220;220;53,79
3,0/202310,0/2023;2023;10;3;12;QUILLOTA______220;220;37,24
3,0/202310,0/2023;2023;10;3;13;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;14;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;15;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;16;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;17;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;18;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;19;QUILLOTA______220;220;0,0
3,0/202310,0/2023;2023;10;3;20;QUILLOTA______220;220;44,81
3,0/202310,0/2023;2023;10;3;21;QUILLOTA______220;220;83,42
3,0/202310,0/2023;2023;10;3;22;QUILLOTA______220;220;73,03
3,0/202310,0/2023;2023;10;3;23;QUILLOTA______220;220;68,77
3,0/202310,0/2023;2023;10;3;24;QUILLOTA______220;220;59,82
4,0/202310,0/2023;2023;10;4;1;QUILLOTA______220;220;56,1
4,0/202310,0/2023;2023;10;4;2;QUILLOTA______220;220;26,18
4,0/202310,0/2023;2023;10;4;3;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;4;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;5;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;6;QUILLOTA______220;220;65,07
4,0/202310,0/2023;2023;10;4;7;QUILLOTA______220;220;70,51
4,0/202310,0/2023;2023;10;4;8;QUILLOTA______220;220;82,01
4,0/202310,0/2023;2023;10;4;9;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;10;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;11;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;12;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;13;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;14;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;15;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;16;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;17;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;18;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;19;QUILLOTA______220;220;0,0
4,0/202310,0/2023;2023;10;4;20;QUILLOTA______220;220;63,83
4,0/202310,0/2023;2023;10;4;21;QUILLOTA______220;220;79,98
4,0/202310,0/2023;2023;10;4;22;QUILLOTA______220;220;72,91
4,0/202310,0/2023;2023;10;4;23;QUILLOTA______220;220;72,91
4,0/202310,0/2023;2023;10;4;24;QUILLOTA______220;220;68,45
5,0/202310,0/2023;2023;10;5;1;QUILLOTA______220;220;60,92
5,0/202310,0/2023;2023;10;5;2;QUILLOTA______220;220;61,29
5,0/202310,0/2023;2023;10;5;3;QUILLOTA______220;220;59,38
5,0/202310,0/2023;2023;10;5;4;QUILLOTA______220;220;59,38
5,0/202310,0/2023;2023;10;5;5;QUILLOTA______220;220;60,92
5,0/202310,0/2023;2023;10;5;6;QUILLOTA______220;220;62,56
5,0/202310,0/2023;2023;10;5;7;QUILLOTA______220;220;75,34
5,0/202310,0/2023;2023;10;5;8;QUILLOTA______220;220;82,66
5,0/202310,0/2023;2023;10;5;9;QUILLOTA______220;220;10,86
5,0/202310,0/2023;2023;10;5;10;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;11;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;12;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;13;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;14;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;15;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;16;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;17;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;18;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;19;QUILLOTA______220;220;0,0
5,0/202310,0/2023;2023;10;5;20;QUILLOTA______220;220;57,27
5,0/202310,0/2023;2023;10;5;21;QUILLOTA______220;220;76,45
5,0/202310,0/2023;2023;10;5;22;QUILLOTA______220;220;80,96
5,0/202310,0/2023;2023;10;5;23;QUILLOTA______220;220;100,25
5,0/202310,0/2023;2023;10;5;24;QUILLOTA______220;220;104,58
6,0/202310,0/2023;2023;10;6;1;QUILLOTA______220;220;99,89
6,0/202310,0/2023;2023;10;6;2;QUILLOTA______220;220;93,97
6,0/202310,0/2023;2023;10;6;3;QUILLOTA______220;220;72,57
6,0/202310,0/2023;2023;10;6;4;QUILLOTA______220;220;69,13
6,0/202310,0/2023;2023;10;6;5;QUILLOTA______220;220;69,13
6,0/202310,0/2023;2023;10;6;6;QUILLOTA______220;220;90,15
6,0/202310,0/2023;2023;10;6;7;QUILLOTA______220;220;103,35
6,0/202310,0/2023;2023;10;6;8;QUILLOTA______220;220;95,78
6,0/202310,0/2023;2023;10;6;9;QUILLOTA______220;220;76,17
6,0/202310,0/2023;2023;10;6;10;QUILLOTA______220;220;77,04
6,0/202310,0/2023;2023;10;6;11;QUILLOTA______220;220;63,53
6,0/202310,0/2023;2023;10;6;12;QUILLOTA______220;220;15,49
6,0/202310,0/2023;2023;10;6;13;QUILLOTA______220;220;15,49
6,0/202310,0/2023;2023;10;6;14;QUILLOTA______220;220;13,94
6,0/202310,0/2023;2023;10;6;15;QUILLOTA______220;220;0,0
6,0/202310,0/2023;2023;10;6;16;QUILLOTA______220;220;0,0
6,0/202310,0/2023;2023;10;6;17;QUILLOTA______220;220;0,0
6,0/202310,0/2023;2023;10;6;18;QUILLOTA______220;220;0,0
6,0/202310,0/2023;2023;10;6;19;QUILLOTA______220;220;0,0
6,0/202310,0/2023;2023;10;6;20;QUILLOTA______220;220;75,5
6,0/202310,0/2023;2023;10;6;21;QUILLOTA______220;220;100,07
6,0/202310,0/2023;2023;10;6;22;QUILLOTA______220;220;102,47
6,0/202310,0/2023;2023;10;6;23;QUILLOTA______220;220;82,82
6,0/202310,0/2023;2023;10;6;24;QUILLOTA______220;220;101,97
7,0/202310,0/2023;2023;10;7;1;QUILLOTA______220;220;82,26
7,0/202310,0/2023;2023;10;7;2;QUILLOTA______220;220;69,12
7,0/202310,0/2023;2023;10;7;3;QUILLOTA______220;220;67,76
7,0/202310,0/2023;2023;10;7;4;QUILLOTA______220;220;65,23
7,0/202310,0/2023;2023;10;7;5;QUILLOTA______220;220;65,23
7,0/202310,0/2023;2023;10;7;6;QUILLOTA______220;220;60,49
7,0/202310,0/2023;2023;10;7;7;QUILLOTA______220;220;66,78
7,0/202310,0/2023;2023;10;7;8;QUILLOTA______220;220;49,34
